uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit
18936,18461,damyanggunhampyeonggunyeonggwanggunjangseonggun_yeonggwanggun,prevote_in,0,1,0,0,Jeollanam-do_7,157392,62267,51608,TRUE,p,FALSE,FALSE,Jeollanam-do_7
18864,18461,damyanggunhampyeonggunyeonggwanggunjangseonggun_damyanggun,abroad,0,0,1,0,Jeollanam-do_7,67,19,17,FALSE,d,TRUE,FALSE,Jeollanam-do_7
18492,18461,goheunggunboseonggunjangheunggungangjingun_gangjingun,maryangmyeontupyoso,1,0,0,0,Jeollanam-do_8,161396,46589,28769,FALSE,p,FALSE,FALSE,Jeollanam-do_8
18603,18461,goheunggunboseonggunjangheunggungangjingun_boseonggun,prevote_in,0,1,0,0,Jeollanam-do_8,161396,69198,43954,TRUE,p,FALSE,FALSE,Jeollanam-do_8
18469,18461,goheunggunboseonggunjangheunggungangjingun_gangjingun,abroad,0,0,1,0,Jeollanam-do_8,40,10,10,FALSE,d,TRUE,FALSE,Jeollanam-do_8
19981,18461,haenamgunwandogunjindogun_wandogun,bogilmyeonjei2tu,1,0,0,0,Jeollanam-do_9,132714,43631,28571,FALSE,p,FALSE,FALSE,Jeollanam-do_9
20078,18461,haenamgunwandogunjindogun_haenamgun,prevote_in,0,1,0,0,Jeollanam-do_9,132714,44637,31009,TRUE,p,FALSE,FALSE,Jeollanam-do_9
19988,18461,haenamgunwandogunjindogun_jindogun,abroad,0,0,1,0,Jeollanam-do_9,37,13,8,FALSE,d,TRUE,FALSE,Jeollanam-do_9
20132,20106,seijongteugbyeoljachisigab,janggunmyeonjei1tu,1,0,0,0,Sejong Special Self-governing City_1,141438,50114,25475,FALSE,p,FALSE,FALSE,Sejong Special Self-governing City_1
20125,20106,seijongteugbyeoljachisigab,prevote_in,0,1,0,0,Sejong Special Self-governing City_1,141438,48861,30391,TRUE,p,FALSE,FALSE,Sejong Special Self-governing City_1
20118,20106,seijongteugbyeoljachisigab,abroad,0,0,1,0,Sejong Special Self-governing City_1,595,117,78,FALSE,d,TRUE,FALSE,Sejong Special Self-governing City_1
20205,20106,seijongteugbyeoljachisieul,yeondongmyeonjei2tu,1,0,0,0,Sejong Special Self-governing City_2,120886,43737,23063,FALSE,p,FALSE,FALSE,Sejong Special Self-governing City_2
20200,20106,seijongteugbyeoljachisieul,prevote_in,0,1,0,0,Sejong Special Self-governing City_2,120886,35527,22867,TRUE,p,FALSE,FALSE,Sejong Special Self-governing City_2
20183,20106,seijongteugbyeoljachisieul,abroad,0,0,1,0,Sejong Special Self-governing City_2,419,92,67,FALSE,d,TRUE,FALSE,Sejong Special Self-governing City_2
23439,20246,jongrogu,buamdongjei1tu,1,0,0,0,Seoul_1,133339,47590,24099,FALSE,p,FALSE,FALSE,Seoul_1
23490,20246,jongrogu,prevote_in,0,1,0,0,Seoul_1,133339,46123,30565,TRUE,p,FALSE,FALSE,Seoul_1
23423,20246,jongrogu,abroad,0,0,1,0,Seoul_1,1177,317,232,FALSE,d,TRUE,FALSE,Seoul_1
