uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit,eday
14092,13924,gimhaesigab,bugbudongjei5tu,1,0,0,0,Gyeongsangnam-do_10,219444,83805,39115,FALSE,p,FALSE,FALSE,Gyeongsangnam-do_10,TRUE
14066,13924,gimhaesigab,prevote_in,0,1,0,0,Gyeongsangnam-do_10,219444,53351,30899,TRUE,p,FALSE,FALSE,Gyeongsangnam-do_10,FALSE
14044,13924,gimhaesigab,abroad,0,0,1,0,Gyeongsangnam-do_10,419,104,77,FALSE,d,TRUE,FALSE,Gyeongsangnam-do_10,FALSE
14140,13924,gimhaesieul,juchonmyeonjei1tu,1,0,0,0,Gyeongsangnam-do_11,222760,89700,40737,FALSE,p,FALSE,FALSE,Gyeongsangnam-do_11,TRUE
14174,13924,gimhaesieul,prevote_in,0,1,0,0,Gyeongsangnam-do_11,222760,54373,30817,TRUE,p,FALSE,FALSE,Gyeongsangnam-do_11,FALSE
14136,13924,gimhaesieul,abroad,0,0,1,0,Gyeongsangnam-do_11,407,102,66,FALSE,d,TRUE,FALSE,Gyeongsangnam-do_11,FALSE
14339,13924,milyangsieuiryeonggunhamangunchangnyeonggun_changnyeonggun,changnyeongeubjei1tu,1,0,0,0,Gyeongsangnam-do_12,228709,81048,21048,FALSE,p,FALSE,FALSE,Gyeongsangnam-do_12,TRUE
14262,13924,milyangsieuiryeonggunhamangunchangnyeonggun_milyangsi,prevote_in,0,1,0,0,Gyeongsangnam-do_12,228709,69162,24389,TRUE,p,FALSE,FALSE,Gyeongsangnam-do_12,FALSE
14335,13924,milyangsieuiryeonggunhamangunchangnyeonggun_changnyeonggun,abroad,0,0,1,0,Gyeongsangnam-do_12,88,25,15,FALSE,d,TRUE,FALSE,Gyeongsangnam-do_12,FALSE
14021,13924,geojeisi,gohyeondongjei8tu,1,0,0,0,Gyeongsangnam-do_13,197014,76646,26370,FALSE,p,FALSE,FALSE,Gyeongsangnam-do_13,TRUE
13975,13924,geojeisi,prevote_in,0,1,0,0,Gyeongsangnam-do_13,197014,52473,22724,TRUE,p,FALSE,FALSE,Gyeongsangnam-do_13,FALSE
